"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","fading","fadeDir","fadeValue"
264817,19,393,392.33,392.44,-0.11,0,1,0,53
264832,19,392,392.22,392.78,-0.56,0,1,0,53
264850,19,392,392.22,392.78,-0.56,0,1,0,53
264853,19,392,392.22,392.78,-0.56,0,1,0,54
264868,19,389,391.89,392.67,-0.78,0,1,0,54
264886,19,393,392.00,392.67,-0.67,0,1,0,54
264889,19,393,392.00,392.67,-0.67,0,1,0,55
264904,19,392,392.33,392.67,-0.33,0,1,0,55
264922,19,384,392.33,392.67,-0.33,0,1,0,55
264925,19,384,392.33,392.67,-0.33,0,1,0,56
264940,19,427,392.33,392.33,0.00,0,1,0,56
264958,19,399,392.33,392.22,0.11,0,1,0,56
264962,19,399,392.33,392.22,0.11,0,1,0,57
264976,19,395,392.33,392.22,0.11,0,1,0,57
264994,19,392,392.22,391.89,0.33,0,1,0,57
264998,19,392,392.22,391.89,0.33,0,1,0,58
265012,19,389,392.22,392.00,0.22,0,1,0,58
265030,19,389,392.22,392.33,-0.11,0,1,0,58
265034,19,389,392.22,392.33,-0.11,0,1,0,59
265048,19,389,391.89,392.33,-0.44,0,1,0,59
265066,19,392,391.89,392.33,-0.44,0,1,0,59
265070,19,392,391.89,392.33,-0.44,0,1,0,60
265084,19,389,391.56,392.33,-0.78,0,1,0,60
265102,19,419,392.22,392.33,-0.11,0,1,0,60
265106,19,419,392.22,392.33,-0.11,0,1,0,61
265120,19,438,392.22,392.22,0.00,0,1,0,61
265138,19,399,392.22,392.22,0.00,0,1,0,61
265142,19,399,392.22,392.22,0.00,0,1,0,62
265156,19,393,392.22,392.22,0.00,0,1,0,62
265174,19,392,392.22,391.89,0.33,0,1,0,62
265178,19,392,392.22,391.89,0.33,0,1,0,63
265192,19,392,392.22,391.89,0.33,0,1,0,63
265210,19,389,392.22,391.56,0.67,0,1,0,63
265214,19,389,392.22,391.56,0.67,0,1,0,64
265228,19,389,391.78,392.22,-0.44,0,1,0,64
265246,19,389,391.44,392.22,-0.78,0,1,0,64
265250,19,389,391.44,392.22,-0.78,0,1,0,65
265264,19,386,391.44,392.22,-0.78,0,1,0,65
265282,19,431,391.44,392.22,-0.78,0,1,0,65
265286,19,431,391.44,392.22,-0.78,0,1,0,66
265300,19,402,391.44,392.22,-0.78,0,1,0,66
265318,19,393,391.22,392.22,-1.00,0,1,0,66
265322,19,393,391.22,392.22,-1.00,0,1,0,67
265336,19,393,391.33,392.22,-0.89,0,1,0,67
265354,19,393,391.78,391.78,0.00,0,1,0,67
265358,19,393,391.78,391.78,0.00,0,1,0,68
265372,19,393,392.22,391.44,0.78,0,1,0,68
265390,19,389,392.22,391.44,0.78,0,1,0,68
265394,19,389,392.22,391.44,0.78,0,1,0,69
265408,19,392,392.22,391.44,0.78,0,1,0,69
265426,19,386,392.22,391.44,0.78,0,1,0,69
265430,19,386,392.22,391.44,0.78,0,1,0,70
265444,19,423,392.22,391.22,1.00,0,1,0,70
265462,19,405,392.22,391.33,0.89,0,1,0,70
265466,19,405,392.22,391.33,0.89,0,1,0,71
265480,19,398,392.22,391.78,0.44,0,1,0,71
265498,19,392,392.11,392.22,-0.11,0,1,0,71
265502,19,392,392.11,392.22,-0.11,0,1,0,72
265516,19,392,392.11,392.22,-0.11,0,1,0,72
265534,19,389,391.78,392.22,-0.44,0,1,0,72
265538,19,389,391.78,392.22,-0.44,0,1,0,73
265552,19,393,392.22,392.22,0.00,0,1,0,73
265570,19,388,392.22,392.22,0.00,0,1,0,73
265574,19,388,392.22,392.22,0.00,0,1,0,74
265588,19,389,392.22,392.22,0.00,0,1,0,74
265606,19,416,393.22,392.22,1.00,0,1,0,74
265610,19,416,393.22,392.22,1.00,0,1,0,75
265624,19,404,393.22,392.11,1.11,0,1,0,75
265643,19,395,392.89,392.11,0.78,0,1,0,75
265646,19,395,392.89,392.11,0.78,0,1,0,76
265661,19,392,392.78,391.78,1.00,0,1,0,76
265679,19,389,392.33,392.22,0.11,0,1,0,76
265682,19,389,392.33,392.22,0.11,0,1,0,77
265697,19,389,391.89,392.22,-0.33,0,1,0,77
265715,19,392,391.78,392.22,-0.44,0,1,0,77
265718,19,392,391.78,392.22,-0.44,0,1,0,78
265733,19,390,391.89,393.22,-1.33,0,1,0,78
265751,19,392,391.89,393.22,-1.33,0,1,0,78
265754,19,392,391.89,393.22,-1.33,0,1,0,79
265769,19,385,391.89,392.89,-1.00,0,1,0,79
265787,19,433,391.89,392.78,-0.89,0,1,0,79
265790,19,433,391.89,392.78,-0.89,0,1,0,80
265805,19,399,391.89,392.33,-0.44,0,1,0,80
265823,19,396,391.89,391.89,0.00,0,1,0,80
265826,19,396,391.89,391.89,0.00,0,1,0,81
265841,19,389,391.56,391.78,-0.22,0,1,0,81
265859,19,392,391.56,391.89,-0.33,0,1,0,81
265862,19,392,391.56,391.89,-0.33,0,1,0,82
265877,19,389,391.56,391.89,-0.33,0,1,0,82
265895,19,392,391.44,391.89,-0.44,0,1,0,82
265899,19,392,391.44,391.89,-0.44,0,1,0,83
265913,19,392,391.78,391.89,-0.11,0,1,0,83
265931,19,384,391.78,391.89,-0.11,0,1,0,83
265935,19,384,391.78,391.89,-0.11,0,1,0,84
265949,19,425,391.78,391.89,-0.11,0,1,0,84
265967,19,402,391.78,391.56,0.22,0,1,0,84
265971,19,402,391.78,391.56,0.22,0,1,0,85
265985,19,398,391.89,391.56,0.33,0,1,0,85
266003,19,392,391.89,391.56,0.33,0,1,0,85
266007,19,392,391.89,391.56,0.33,0,1,0,86
266021,19,389,391.89,391.44,0.44,0,1,0,86
266039,19,389,391.89,391.78,0.11,0,1,0,86
266043,19,389,391.89,391.78,0.11,0,1,0,87
266057,19,389,391.56,391.78,-0.22,0,1,0,87
266075,19,389,391.44,391.78,-0.33,0,1,0,87
266079,19,389,391.44,391.78,-0.33,0,1,0,88
266093,19,388,391.11,391.78,-0.67,0,1,0,88
266112,19,421,392.11,391.89,0.22,0,1,0,88
266115,19,421,392.11,391.89,0.22,0,1,0,89
266130,19,400,392.11,391.89,0.22,0,1,0,89
266148,19,398,392.11,391.89,0.22,0,1,0,89
266151,19,398,392.11,391.89,0.22,0,1,0,90
266166,19,393,391.78,391.89,-0.11,0,1,0,90
266184,19,392,392.11,391.56,0.56,0,1,0,90
